script_id,source_set,relative_path,sha256,line_count,executable_top_level_nodes,execution_id,execution_reused_by_hash,run_status,return_code,adaptation,stdout_log,stderr_log
PY-0011,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/11_CODIGO_Y_REPRODUCIBILIDAD/Geometry_Omega_background_continuation_solver_2026-07-31.py,c4573389d495102f4041d373a21b16eecfd8c11e1bd39abf8bf2641e591b317f,55,16,PYU-0020,True,executed_successfully,0,literal /mnt/data redirected to isolated temporary data directory,logs/PYU-0020_stdout.txt,logs/PYU-0020_stderr.txt
PY-0012,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/11_CODIGO_Y_REPRODUCIBILIDAD/Geometry_Omega_pulsation_solver_preliminary_v6_2026-07-31.py,5785a026722f750dd20f9c9f0d083f6f4eea1c25ac6ebeeed229f6e133cdf535,71,3,PYU-0010,True,executed_successfully,0,literal /mnt/data redirected to isolated temporary data directory; packaged profile copied into isolated data directory,logs/PYU-0010_stdout.txt,logs/PYU-0010_stderr.txt
PY-0013,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/11_CODIGO_Y_REPRODUCIBILIDAD/einstein_omega_solver.py,4f8b3d187364f5c1b5e1c36080063ee2e033b0fa95334d3900d002e119bd07a1,7,0,PYU-0009,True,no_executable_logic,0,none,logs/PYU-0009_stdout.txt,logs/PYU-0009_stderr.txt
PY-0014,physical,GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/GEOMETRY_OMEGA_TEORIA_COMPLETA_V1_0/11_CODIGO_Y_REPRODUCIBILIDAD/omega_qball_solver.py,a08befeab58287ef1acfa4a60d36bfac0f561165182166a1fe5a6d540450aa4f,35,5,PYU-0017,True,executed_successfully,0,none,logs/PYU-0017_stdout.txt,logs/PYU-0017_stderr.txt
PY-0015,physical,OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/OMEGA_THEORY_V1_1_ENTREGA_01_GEOMETRIA_TRANSICIONES/03_CODIGO/reproducir_entrega_01.py,fdaf432fa6c48cd3f93307208a36cee5674ac3d2c5b344f26332d74a5fd580e4,171,76,PYU-0028,False,execution_failed,1,literal /mnt/data redirected to isolated temporary data directory,logs/PYU-0028_stdout.txt,logs/PYU-0028_stderr.txt
PY-0016,physical,OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/OMEGA_THEORY_V1_1_ENTREGA_02_INERCIA_RELACIONAL/03_CODIGO/reproducir_entrega_02.py,762564a6f3580ac2e3d83089f0d05b1adf489a6d435cceea51998a3609cb4bc3,19,6,PYU-0013,False,executed_successfully,0,none,logs/PYU-0013_stdout.txt,logs/PYU-0013_stderr.txt
PY-0017,physical,OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/OMEGA_THEORY_V1_1_ENTREGA_03_RELOJ_EMERGENTE/03_CODIGO/reproducir_entrega_03.py,046bcea951a0e3d1fa71d8626f39aa20f1fca7b158b8687cd0731d83762d9e76,23,2,PYU-0001,False,executed_successfully,0,none,logs/PYU-0001_stdout.txt,logs/PYU-0001_stderr.txt
PY-0018,physical,OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES/OMEGA_THEORY_V1_1_ENTREGA_04_RELOJES_OPERACIONALES/03_CODIGO/reproducir_entrega_04.py,1e36cbd6051c5d04bbd129b8e848b551c07790b297874e0cec185dcd0e0629bc,13,1,PYU-0003,False,executed_successfully,0,none,logs/PYU-0003_stdout.txt,logs/PYU-0003_stderr.txt
PY-0019,physical,OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/OMEGA_THEORY_V1_1_ENTREGA_05_TRAYECTORIAS_GRADIENTES/03_CODIGO/reproducir_entrega_05.py,671bd4435e1ce0f1f7ceb88f2b60389e7c0fd36355b9aaa18f3b82a3ff39ea3b,20,5,PYU-0012,False,executed_successfully,0,none,logs/PYU-0012_stdout.txt,logs/PYU-0012_stderr.txt
PY-0020,physical,OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/OMEGA_THEORY_V1_1_ENTREGA_06_ECUACION_FUENTE_RELOJ/03_CODIGO/reproducir_entrega_06.py,b28afe6f011480ada301af5c074c3f5d211f67c9422564596ed38c56675269cf,16,5,PYU-0018,False,executed_successfully,0,none,logs/PYU-0018_stdout.txt,logs/PYU-0018_stderr.txt
PY-0021,physical,OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/OMEGA_THEORY_V1_1_ENTREGA_07_FUENTE_MICROSCOPICA/03_CODIGO/reproducir_entrega_07.py,b35daa4854d643f82f0cb72a013b683ffa31c282365da82835f04221cd4be98d,13,2,PYU-0019,False,executed_successfully,0,none,logs/PYU-0019_stdout.txt,logs/PYU-0019_stderr.txt
PY-0022,physical,OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/OMEGA_THEORY_V1_1_ENTREGA_08_MASA_INERCIAL/03_CODIGO/reproducir_entrega_08.py,f37a24ba99c949df0264674404017e2b79c83e453f0bb49de3a8b4fcf0a108b0,15,5,PYU-0026,False,executed_successfully,0,none,logs/PYU-0026_stdout.txt,logs/PYU-0026_stderr.txt
PY-0023,physical,OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_09_RESPUESTA_UNIVERSAL_Y_ALPHA/03_CODIGO/reproducir_entrega_09.py,2cbc0dcc4df6e31f31003c622247167c670fe2f0156ab9d5cd505a9f9d6546e0,4,2,PYU-0004,False,executed_successfully,0,none,logs/PYU-0004_stdout.txt,logs/PYU-0004_stderr.txt
PY-0024,physical,OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/OMEGA_THEORY_V1_1_ENTREGA_10_CONEXION_ABElIANA_Y_ACOPLAMIENTO/03_CODIGO/reproducir_entrega_10.py,ef46502187b6e4753cf369d87ad8ce87947cf1ca8de720501ca13c96c1501d8a,7,2,PYU-0025,False,executed_successfully,0,none,logs/PYU-0025_stdout.txt,logs/PYU-0025_stderr.txt
PY-0025,physical,OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_11_CAMPO_UNIVERSAL_Y_VARIACION_ALPHA/03_CODIGO/reproducir_entrega_11.py,5c94c1286cf3290a65ecada7afcdae7bc9eff5e52813e870fd6d0860c084ff0b,5,1,PYU-0011,False,executed_successfully,0,none,logs/PYU-0011_stdout.txt,logs/PYU-0011_stderr.txt
PY-0026,physical,OMEGA_THEORY_V1_1_ENTREGA_12_MEDIDA_COMUN_Y_PROTECCION_ALPHA/OMEGA_THEORY_V1_1_ENTREGA_12_MEDIDA_COMUN_Y_PROTECCION_ALPHA/03_CODIGO/reproducir_entrega_12.py,47a327561201e7fb5e572461f6d9c76bd862f0f271df16acd5294dbd77906d75,9,11,PYU-0007,False,executed_successfully,0,none,logs/PYU-0007_stdout.txt,logs/PYU-0007_stderr.txt
PY-0027,physical,OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_13_CARACTER_UNIVERSAL_DESDE_CONTINUIDAD/03_CODIGO/reproducir_entrega_13.py,d998067f4c0f0d2fb2ffffa88dc6f4d3627eb43e1e3e7f8aed3fa03fda82be64,5,1,PYU-0024,False,executed_successfully,0,none,logs/PYU-0024_stdout.txt,logs/PYU-0024_stderr.txt
PY-0028,physical,OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/OMEGA_THEORY_V1_1_ENTREGA_14_MODO_UNIVERSAL_Y_DESVIACIONES/03_CODIGO/reproducir_entrega_14.py,3bf6b6587ae650cb605863cc21f2322c67931b555eb4026e30db7fbd133f19ff,4,6,PYU-0005,False,executed_successfully,0,none,logs/PYU-0005_stdout.txt,logs/PYU-0005_stderr.txt
PY-0029,physical,OMEGA_THEORY_V1_1_ENTREGA_15_IRREVERSIBILIDAD_IDENTIDAD_CONTINUIDAD/OMEGA_THEORY_V1_1_ENTREGA_15_IRREVERSIBILIDAD_IDENTIDAD_CONTINUIDAD/03_CODIGO/reproducir_entrega_15.py,3ccbda40d2cea1435b77434e9da42abc683cce2899e4368a65ac4f6605a36561,5,2,PYU-0006,False,executed_successfully,0,none,logs/PYU-0006_stdout.txt,logs/PYU-0006_stderr.txt
PY-0030,physical,OMEGA_THEORY_V1_1_ENTREGA_16_ORDEN_DE_CONTINUACION/OMEGA_THEORY_V1_1_ENTREGA_16_ORDEN_DE_CONTINUACION/03_CODIGO/reproducir_entrega_16.py,d6b02a737b1e99a2afaa48fc4d2028151e885f56984dec96862c31139a129d47,4,3,PYU-0023,False,execution_failed,1,none,logs/PYU-0023_stdout.txt,logs/PYU-0023_stderr.txt
PY-0031,physical,OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/OMEGA_THEORY_V1_1_ENTREGA_17_DERIVACION_NO_RETORNO/03_CODIGO/reproducir_entrega_17.py,846172d10b87d4c54991b0a0c0b57212580fd1747bcf3a3e81c7fa0a2a8f143f,3,3,PYU-0014,False,executed_successfully,0,none,logs/PYU-0014_stdout.txt,logs/PYU-0014_stderr.txt
PY-0032,physical,OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/OMEGA_THEORY_V1_1_ENTREGA_18_ENTROPIA_GENEALOGICA/03_CODIGO/reproducir_entrega_18.py,9468de38d6c81c8f08325d1e47bd030cb08dd8a166b15c0ab453a9cbbff6a7a6,5,4,PYU-0015,False,executed_successfully,0,none,logs/PYU-0015_stdout.txt,logs/PYU-0015_stderr.txt
PY-0033,physical,OMEGA_THEORY_V1_1_ENTREGA_19_MEDIDA_CAMINOS_Y_FLECHA_ESTADISTICA/OMEGA_THEORY_V1_1_ENTREGA_19_MEDIDA_CAMINOS_Y_FLECHA_ESTADISTICA/03_CODIGO/reproducir_entrega_19.py,d5821650dfed42ded1a07d3ceb6a795ce60daedc8689aa47bdfd70711aa28d03,5,4,PYU-0022,False,executed_successfully,0,none,logs/PYU-0022_stdout.txt,logs/PYU-0022_stderr.txt
PY-0034,physical,OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/OMEGA_THEORY_V1_1_ENTREGA_20_ENERGIA_TEMPERATURA_Y_OBSTRUCCION/03_CODIGO/reproducir_entrega_20.py,fd065506e3d29833bee5a0c511d4270eb7a6045cb0cddee670de70388c001373,6,6,PYU-0027,False,executed_successfully,0,none,logs/PYU-0027_stdout.txt,logs/PYU-0027_stderr.txt
PY-0035,physical,OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/OMEGA_THEORY_V1_1_ENTREGA_21_ESCALA_OPERACIONAL_ENERGIA/03_CODIGO/reproducir_entrega_21.py,cd9e0b8a4bbdc02624803d552d8b4a88d9167f972c5ab6f6b6d89b0a46313262,4,1,PYU-0021,False,executed_successfully,0,none,logs/PYU-0021_stdout.txt,logs/PYU-0021_stderr.txt
PY-0036,embedded,Omega_Corpus_Completo_2026-08-01/Omega_Corpus_Completo/datos_asociados/Geometry_Omega_Abelian_Charged_Solver_v9_2026-07-31.py,4df244f8a8b933d385dac744c5df9707ad836a3dea88d2961741470cb1a72c30,14,0,PYU-0008,True,no_executable_logic,0,none,logs/PYU-0008_stdout.txt,logs/PYU-0008_stderr.txt
PY-0037,embedded,Omega_Corpus_Completo_2026-08-01/Omega_Corpus_Completo/datos_asociados/Geometry_Omega_Charged_Pulsation_BVP_v14_2026-07-31.py,9e8fa983a8e74a9622d95e9dcaca2e92ad9f70914c012dd5d60034fc5e491184,182,1,PYU-0016,True,expected_interface_guard,1,none,logs/PYU-0016_stdout.txt,logs/PYU-0016_stderr.txt
PY-0038,embedded,Omega_Corpus_Completo_2026-08-01/Omega_Corpus_Completo/datos_asociados/Geometry_Omega_Symbolic_Verifier_v13_2026-07-31.py,1069695438e99023b8dce64a50a178f17c21160765c490d4654a8769fc4a665e,61,30,PYU-0002,True,execution_failed,1,none,logs/PYU-0002_stdout.txt,logs/PYU-0002_stderr.txt
PY-0039,embedded,Omega_Corpus_Completo_2026-08-01/Omega_Corpus_Completo/datos_asociados/Geometry_Omega_background_continuation_solver_2026-07-31.py,c4573389d495102f4041d373a21b16eecfd8c11e1bd39abf8bf2641e591b317f,55,16,PYU-0020,True,executed_successfully,0,literal /mnt/data redirected to isolated temporary data directory,logs/PYU-0020_stdout.txt,logs/PYU-0020_stderr.txt
PY-0040,embedded,Omega_Corpus_Completo_2026-08-01/Omega_Corpus_Completo/datos_asociados/Geometry_Omega_pulsation_solver_preliminary_v6_2026-07-31.py,5785a026722f750dd20f9c9f0d083f6f4eea1c25ac6ebeeed229f6e133cdf535,71,3,PYU-0010,True,executed_successfully,0,literal /mnt/data redirected to isolated temporary data directory; packaged profile copied into isolated data directory,logs/PYU-0010_stdout.txt,logs/PYU-0010_stderr.txt
